Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Diontae SpencerD. Spencer,5,4.0,0,0,0,0,0,0,3,19,0,0,3,26,0,0,0,0
Antonio CallawayA. Callaway,7,3.0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Bennie FowlerB. Fowler,6,3.0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Antonio Gandy-GoldenA. Gandy-Golden,8,3.0,0,0,0,0,0,0,1,22,0,0,1,3,0,0,0,0
Andy JanovichA. Janovich,9,3.0,0,0,0,0,0,0,2,4,0,0,2,13,0,0,0,0
Dalton KeeneD. Keene,5,3.0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
Colby ParkinsonC. Parkinson,6,3.0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Elijhaa PennyE. Penny,11,3.0,0,0,0,0,0,0,6,15,0,0,2,20,0,0,0,0
John RossJ. Ross,9,3.0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Eric SaubertE. Saubert,8,3.0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
Bo ScarbroughB. Scarbrough,6,3.0,0,0,0,0,0,0,6,31,0,0,0,0,0,0,0,0
Austin WalterA. Walter,11,3.0,0,0,0,0,0,0,1,3,0,0,1,27,0,0,0,0
LeVante BellamyL. Bellamy,5,2.0,0,0,0,0,0,0,4,11,0,0,1,5,0,0,0,0
Jake ButtJ. Butt,5,2.0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
Jason CabindaJ. Cabinda,5,2.0,0,0,0,0,0,0,1,0,0,0,2,8,0,0,0,0
Derek CarrierD. Carrier,6,2.0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
Chandler CoxC. Cox,7,2.0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
Josiah DeguaraJ. Deguara,5,2.0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Gehrig DieterG. Dieter,10,2.0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Joshua DobbsJ. Dobbs,4,2.0,5,4,2,0,0,0,2,20,0,0,0,0,0,0,0,0
Rico DowdleR. Dowdle,10,2.0,0,0,0,0,0,0,7,24,0,0,0,0,0,0,0,0
Robert Griffin IIIR. Griffin,7,2.0,14,8,42,0,2,0,12,69,0,0,0,0,0,0,1,0
Penny HartP. Hart,6,2.0,0,0,0,0,0,0,1,19,0,0,1,3,0,0,0,0
Temarrick HemingwayT. Hemingway,8,2.0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Cody HollisterC. Hollister,4,2.0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Brian HoyerB. Hoyer,5,2.0,24,15,130,0,1,0,1,8,0,0,0,0,0,0,1,0
Jason HuntleyJ. Huntley,9,2.0,0,0,0,0,0,0,5,19,0,0,1,0,0,0,0,0
Blake JarwinB. Jarwin,10,2.0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Marcus KempM. Kemp,10,2.0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Keith KirkwoodK. Kirkwood,13,2.0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Tommylee LewisT. Lewis,6,2.0,0,0,0,0,0,0,2,14,0,0,1,5,0,0,0,0
Lamar MillerL. Miller,8,2.0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0
Donte MoncriefD. Moncrief,5,2.0,0,0,0,0,0,0,1,4,0,0,1,15,0,0,0,0
James ProcheJ. Proche,7,2.0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
Jaleel ScottJ. Scott,10,2.0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
Vyncint SmithV. Smith,10,2.0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Tommy StevensT. Stevens,13,2.0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0
Luke WillsonL. Willson,6,2.0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Jameis WinstonJ. Winston,6,2.0,11,7,75,0,0,0,8,-6,0,0,0,0,0,0,0,0
Marcus BaughM. Baugh,8,1.0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Brandon DillonB. Dillon,7,1.0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
D.J. FosterD. Foster,8,1.0,0,0,0,0,0,0,2,2,0,0,1,7,0,0,0,0
Cullen GillaspiaC. Gillaspia,8,1.0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Tyler HuntleyT. Huntley,7,1.0,5,3,15,0,0,0,10,23,0,0,0,0,0,0,0,0
Trenton IrwinT. Irwin,9,1.0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Tony JonesT. Jones,6,1.0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0
Case KeenumC. Keenum,9,1.0,10,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian KillinsA. Killins,9,1.0,0,0,0,0,0,0,1,-12,0,0,1,2,0,0,0,0
Bruce MillerB. Miller,8,1.0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Isaac NautaI. Nauta,5,1.0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Rashaad PennyR. Penny,6,1.0,0,0,0,0,0,0,11,34,0,0,0,0,0,0,0,0
Nathan PetermanN. Peterman,6,1.0,5,3,25,0,0,0,1,9,0,0,0,0,0,0,0,0
Scottie PhillipsS. Phillips,8,1.0,0,0,0,0,0,0,2,9,0,0,1,7,0,0,0,0
Craig ReynoldsC. Reynolds,8,1.0,0,0,0,0,0,0,1,4,0,0,1,3,0,0,0,0
Geno SmithG. Smith,6,1.0,5,4,33,0,0,0,2,-2,0,0,0,0,0,0,0,0
Jeremy SprinkleJ. Sprinkle,8,1.0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Trevon WescoT. Wesco,10,1.0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0
Logan WoodsideL. Woodside,4,1.0,3,1,7,0,0,0,7,10,0,0,0,0,0,0,0,0
David BloughD. Blough,5,0.0,10,6,49,0,1,0,1,18,0,0,0,0,0,0,0,0
Tim BoyleT. Boyle,5,0.0,0,0,0,0,0,0,13,-9,0,0,0,0,0,0,0,0
Tyler BrayT. Bray,11,0.0,5,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Brooks-JamesT. Brooks-James,10,0.0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0
DeAndre CarterD. Carter,11,0.0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0
John LovettJ. Lovett,5,0.0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0
A.J. McCarronA. McCarron,8,0.0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0
JoJo NatsonJ. Natson,9,0.0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Qadree OllisonQ. Ollison,10,0.0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Senorise PerryS. Perry,4,0.0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0
Matt SchaubM. Schaub,10,0.0,0,0,0,0,0,0,3,-4,0,0,0,0,0,0,0,0
Easton StickE. Stick,6,0.0,1,1,4,0,0,0,1,-2,0,0,0,0,0,0,0,0
Dwayne WashingtonD. Washington,6,0.0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0
Dede WestbrookD. Westbrook,8,0.0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0
Dexter WilliamsD. Williams,5,0.0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0
Dwayne HarrisD. Harris,11,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nate SudfeldN. Sudfeld,9,-1.0,12,5,32,0,1,0,2,12,0,0,0,0,0,0,1,0
Nsimba WebsterN. Webster,9,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kendall HintonK. Hinton,5,-4.0,9,1,13,0,2,0,2,7,0,0,0,0,0,0,0,0
