Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Jeffery WilsonJ. Wilson,11,138.0,0,0,0,0,0,0,126,600,7,0,13,133,3,0,2,0
Eric EbronE. Ebron,4,136.0,0,0,0,0,0,0,0,0,0,0,56,558,5,1,1,0
Darius SlaytonD. Slayton,11,136.0,0,0,0,0,0,0,2,-1,0,0,50,751,3,0,1,0
Jonnu SmithJ. Smith,4,135.0,0,0,0,0,0,0,2,4,1,0,41,448,8,0,0,0
Devin SingletaryD. Singletary,11,133.0,0,0,0,0,0,0,156,687,2,0,38,269,0,0,1,0
Evan EngramE. Engram,11,131.0,0,0,0,0,0,0,6,26,1,0,63,654,1,0,1,0
Marquez Valdes-ScantlingM. Valdes-Scantling,5,131.0,0,0,0,0,0,0,4,13,0,0,33,690,6,0,1,0
Gabriel DavisG. Davis,11,129.0,0,0,0,0,0,0,1,0,0,0,35,599,7,0,0,0
Zach PascalZ. Pascal,7,129.0,1,0,0,0,0,0,0,0,0,0,44,629,5,0,0,0
Hunter RenfrowH. Renfrow,6,126.0,0,0,0,0,0,0,0,0,0,0,56,656,2,0,1,0
Wayne GallmanW. Gallman,11,125.0,0,0,0,0,0,0,147,682,6,0,21,114,0,0,0,0
Greg WardG. Ward,9,125.0,1,1,15,0,0,0,2,-4,0,0,53,419,6,1,0,0
Kendrick BourneK. Bourne,11,124.0,0,0,0,0,0,0,0,0,0,0,49,667,2,1,0,0
Jared CookJ. Cook,6,124.0,0,0,0,0,0,0,0,0,0,0,37,504,7,0,1,0
Tyler HigbeeT. Higbee,9,123.0,0,0,0,0,0,0,1,1,0,0,44,521,5,1,0,0
Leonard FournetteL. Fournette,13,122.0,0,0,0,0,0,0,97,367,6,0,36,233,0,0,0,0
Latavius MurrayL. Murray,6,122.0,0,0,0,0,0,0,146,656,4,0,23,176,1,0,0,0
Gus EdwardsG. Edwards,7,120.0,0,0,0,0,0,0,144,723,6,0,9,129,0,0,1,0
Nick FolesN. Foles,8,119.0,312,202,1852,10,8,0,16,1,1,0,0,0,0,0,0,0
Darrell HendersonD. Henderson,9,119.0,0,0,0,0,0,0,138,624,5,0,16,159,1,0,0,0
George KittleG. Kittle,11,119.0,0,0,0,0,0,0,2,17,0,0,48,634,2,0,0,0
Mecole HardmanM. Hardman,10,118.0,0,0,0,0,0,0,4,31,0,0,41,560,4,1,2,0
Jerick McKinnonJ. McKinnon,11,118.0,0,0,0,0,0,0,81,319,5,0,33,253,1,0,0,0
Josh ReynoldsJ. Reynolds,9,118.0,0,0,0,0,0,0,1,5,0,0,52,618,2,0,1,0
Jamaal WilliamsJ. Williams,5,118.0,0,0,0,0,0,0,119,505,2,2,31,236,1,0,0,0
Rashard HigginsR. Higgins,9,115.0,0,0,0,0,0,0,0,0,0,0,37,599,4,0,0,0
