Player,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Larry Fitzgerald,12,170.0,0,0,0,0,0,0,0,0,0,0,75,804,4,0,1,0
Marlon Mack,6,170.0,0,0,0,0,0,0,247,1091,8,1,14,82,0,0,0,0
Darius Slayton,11,166.0,0,0,0,0,0,0,0,0,0,0,48,740,8,0,0,0
Curtis Samuel,7,162.0,0,0,0,0,0,0,19,130,1,0,54,627,6,0,0,0
Jared Cook,9,161.0,0,0,0,0,0,0,0,0,0,0,43,705,9,0,0,0
David Montgomery,6,160.0,0,0,0,0,0,0,242,889,6,0,25,185,1,0,2,0
Christian Kirk,12,157.0,0,0,0,0,0,0,10,93,0,0,68,709,3,1,0,0
Raheem Mostert,4,157.0,0,0,0,0,0,0,137,772,8,0,14,180,2,0,2,0
Robby Anderson,4,156.0,0,0,0,0,0,0,1,4,0,0,52,779,5,1,0,0
Ronald Jones II,7,156.0,0,0,0,0,0,0,172,724,6,0,31,309,0,0,2,0
Tyler Higbee,9,155.0,0,0,0,0,0,0,0,0,0,0,69,734,3,0,0,0
Mike Williams,12,154.0,0,0,0,0,0,0,1,2,0,0,49,1001,2,0,0,0
Randall Cobb,8,150.0,1,0,0,0,0,0,3,11,0,0,55,828,3,0,1,0
Diontae Johnson,7,150.0,0,0,0,0,0,0,4,41,0,0,59,680,5,0,2,0
Dede Westbrook,10,150.0,0,0,0,0,0,0,5,27,0,0,66,660,3,2,0,0
Golden Tate,11,149.0,0,0,0,0,0,0,1,16,0,0,49,676,6,0,1,0
Chris Conley,10,148.0,0,0,0,0,0,0,0,0,0,0,47,775,5,1,0,0
Tarik Cohen,6,146.0,0,0,0,0,0,0,64,213,0,0,79,456,3,0,0,0
Hunter Henry,12,146.0,0,0,0,0,0,0,0,0,0,0,55,652,5,1,1,0
Carlos Hyde,12,146.0,0,0,0,0,0,0,245,1070,6,0,10,42,0,0,2,0
Sony Michel,10,145.0,0,0,0,0,0,0,247,912,7,0,12,94,0,0,1,0
Latavius Murray,9,144.0,0,0,0,0,0,0,146,637,5,0,34,235,1,0,0,0
Duke Johnson,10,143.0,0,0,0,0,0,0,83,410,2,0,44,410,3,0,1,0
Marquise Brown,8,141.0,0,0,0,0,0,0,0,0,0,0,46,584,7,0,0,0
James Conner,7,140.0,0,0,0,0,0,0,116,464,4,0,34,251,3,0,1,0
Dallas Goedert,10,140.0,0,0,0,0,0,0,0,0,0,0,58,607,5,0,2,0
Devin Singletary,6,137.0,0,0,0,0,0,0,151,775,2,0,29,194,2,0,1,0
Sterling Shepard,11,136.0,0,0,0,0,0,0,6,72,0,0,57,576,3,1,0,0
Tyrell Williams,6,136.0,0,0,0,0,0,0,0,0,0,0,42,651,6,0,0,0
Danny Amendola,5,135.0,1,1,19,1,0,0,0,0,0,0,62,678,1,0,0,0
Adrian Peterson,10,135.0,0,0,0,0,0,0,211,898,5,0,17,142,0,0,2,0
Jamaal Williams,11,135.0,0,0,0,0,0,0,107,460,1,0,39,253,5,0,0,0
Breshad Perriman,7,134.0,0,0,0,0,0,0,2,16,0,0,36,645,6,0,0,0
Jason Witten,8,133.0,0,0,0,0,0,0,0,0,0,0,63,529,4,1,1,0
David Johnson,12,132.0,0,0,0,0,0,0,94,345,2,0,36,370,4,0,1,0
Sammy Watkins,12,132.0,0,0,0,0,0,0,2,12,0,0,52,673,3,1,1,0
Damien Williams,12,132.0,0,0,0,0,0,0,111,498,5,0,30,213,2,0,1,0
Royce Freeman,10,130.0,0,0,0,0,0,0,132,496,3,0,43,256,1,0,0,0
Will Fuller,10,130.0,0,0,0,0,0,0,0,0,0,0,49,670,3,0,0,0
