Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Keke Coutee,2021,WR,14,1.5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
C.J. Beathard,2021,QB,7,1.5,2,2,33,0,0,0,1,2,0,0,0,0,0,0,0,0
Easop Winston,2021,WR,6,1.5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Devine Ozigbo,2021,RB,14,1.4,0,0,0,0,0,0,1,-3,0,0,1,7,0,0,0,0
Malik Taylor,2021,WR,13,1.4,0,0,0,0,0,0,0,0,0,0,2,14,0,0,1,0
John Kelly,2021,RB,13,1.3,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0
Nick Boyle,2021,TE,8,1.2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Jacques Patrick,2021,RB,8,1.2,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
Mekhi Sargent,2021,RB,7,1.1,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0
Greg Howell,2021,RB,11,1.1,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0
Khari Blasingame,2021,RB,13,1.0,0,0,0,0,0,0,3,6,0,0,2,4,0,0,1,0
Darrell Daniels,2021,TE,12,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Deon Yelder,2021,TE,10,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Daniel Helm,2021,TE,8,0.9,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
Sam Ehlinger,2021,QB,14,0.9,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0
Racey McMath,2021,WR,13,0.8,0,0,0,0,0,0,0,0,0,0,2,8,0,0,1,0
Ryan Fitzpatrick,2021,QB,9,0.7,6,3,13,0,0,0,1,2,0,0,0,0,0,0,0,0
Damarea Crockett,2021,RB,11,0.7,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
David Blough,2021,QB,9,0.6,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
Jake Funk,2021,RB,11,0.5,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
