Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Denzel Mims,2021,WR,6,21.3,0,0,0,0,0,0,0,0,0,0,8,133,0,0,0,0
Jordan Love,2021,QB,13,21.1,62,36,411,2,3,0,12,27,0,1,0,0,0,0,1,0
Jonathan Williams,2021,RB,9,20.7,0,0,0,0,0,0,17,79,1,0,4,28,0,0,0,0
Patrick Ricard,2021,RB,8,20.7,0,0,0,0,0,0,2,4,0,0,8,63,1,0,0,0
Jacob Hollister,2021,TE,7,20.5,0,0,0,0,0,0,0,0,0,0,9,55,1,0,0,0
Trinity Benson,2021,WR,9,20.3,0,0,0,0,0,0,0,0,0,0,10,103,0,0,0,0
Equanimeous St. Brown,2021,WR,13,20.2,0,0,0,0,0,0,3,14,0,0,9,98,0,0,0,0
Kristian Wilkerson,2021,WR,14,20.2,0,0,0,0,0,0,0,0,0,0,4,42,2,0,0,0
Qadree Ollison,2021,RB,6,19.7,0,0,0,0,0,0,21,105,1,0,4,12,0,0,1,0
Tommy Sweeney,2021,TE,7,19.4,0,0,0,0,0,0,0,0,0,0,9,44,1,0,0,0
Jeff Smith,2021,WR,6,19.2,0,0,0,0,0,0,1,-1,0,0,8,113,0,0,0,0
Jesse James,2021,TE,10,19.2,0,0,0,0,0,0,0,0,0,0,7,62,1,0,0,0
Drew Sample,2021,TE,10,19.1,0,0,0,0,0,0,0,0,0,0,11,81,0,0,0,0
Scott Miller,2021,WR,9,19.1,0,0,0,0,0,0,2,43,1,0,5,38,0,0,0,0
Chris Manhertz,2021,TE,7,19.1,0,0,0,0,0,0,0,0,0,0,6,71,1,0,0,0
Austin Walter,2021,RB,6,19.0,0,0,0,0,0,0,26,101,1,0,2,9,0,0,0,0
Kenny Stills,2021,WR,6,18.9,0,0,0,0,0,0,1,1,0,0,6,68,1,0,0,0
Blake Bell,2021,TE,12,18.7,0,0,0,0,0,0,4,10,0,0,9,87,0,0,0,0
Eric Saubert,2021,TE,11,18.7,0,0,0,0,0,0,0,0,0,0,8,47,1,0,0,0
J.J. Taylor,2021,RB,14,18.5,0,0,0,0,0,0,19,37,2,0,4,8,0,0,1,0
Mason Rudolph,2021,QB,7,18.4,58,35,277,1,1,0,5,53,0,0,0,0,0,0,0,0
Tom Kennedy,2021,WR,9,18.4,1,1,75,1,0,0,0,0,0,0,6,54,0,0,0,0
Phillip Dorsett,2021,WR,10,18.0,0,0,0,0,0,0,1,0,0,0,7,110,0,0,0,0
Keith Smith,2021,RB,6,17.7,0,0,0,0,0,0,9,31,0,0,9,56,0,0,0,0
Patrick Taylor,2021,RB,13,17.2,0,0,0,0,0,0,23,89,1,0,2,3,0,0,0,0
Joshua Kelley,2021,RB,7,17.0,0,0,0,0,0,0,33,102,0,0,5,38,0,0,1,0
Dede Westbrook,2021,WR,7,16.8,0,0,0,0,0,0,0,0,0,0,10,68,0,0,0,0
Nick Foles,2021,QB,10,16.8,35,24,250,1,0,1,4,8,0,0,0,0,0,0,0,0
Noah Gray,2021,TE,12,16.6,0,0,0,0,0,0,0,0,0,0,7,36,1,0,0,0
Shi Smith,2021,WR,13,16.1,0,0,0,0,0,0,1,-3,0,0,6,104,0,0,0,0
Jesper Horsted,2021,TE,10,16.1,0,0,0,0,0,0,0,0,0,0,2,21,2,0,0,0
Dez Fitzpatrick,2021,WR,13,15.9,0,0,0,0,0,0,0,0,0,0,5,49,1,0,0,0
Antony Auclair,2021,TE,10,15.7,0,0,0,0,0,0,0,0,0,0,5,47,1,0,0,0
Josh Oliver,2021,TE,8,15.6,0,0,0,0,0,0,0,0,0,0,9,66,0,0,0,0
Larry Rountree,2021,RB,7,15.6,0,0,0,0,0,0,36,87,1,0,1,-1,0,0,0,0
Dax Milne,2021,WR,9,15.4,0,0,0,0,0,0,1,1,0,0,9,83,0,0,1,0
Ross Dwelley,2021,TE,6,15.1,0,0,0,0,0,0,0,0,0,0,4,51,1,0,0,0
Marcus Mariota,2021,QB,8,14.9,2,1,4,0,0,0,13,87,1,0,0,0,0,0,0,0
Michael Burton,2021,RB,12,14.7,0,0,0,0,0,0,8,26,1,0,3,31,0,0,0,0
Anthony Miller,2021,WR,7,14.5,0,0,0,0,0,0,0,0,0,0,6,25,1,0,0,0
Josh Gordon,2021,WR,12,14.2,0,0,0,0,0,0,0,0,0,0,5,32,1,0,0,0
Chris Hogan,2021,WR,6,14.1,0,0,0,0,0,0,0,0,0,0,4,41,1,0,0,0
Chris Herndon IV,2021,TE,7,14.0,0,0,0,0,0,0,0,0,0,0,4,40,1,0,0,0
Brandon Allen,2021,QB,10,13.9,34,17,149,2,0,0,7,-1,0,0,0,0,0,0,0,0
Jason Cabinda,2021,RB,9,13.9,0,0,0,0,0,0,3,23,0,0,4,16,1,0,0,0
Preston Williams,2021,WR,14,13.8,0,0,0,0,0,0,1,7,0,0,6,71,0,0,0,0
Phillip Walker,2021,QB,13,13.8,66,36,362,1,3,1,7,13,0,0,0,0,0,0,1,0
Wayne Gallman,2021,RB,7,13.5,0,0,0,0,0,0,28,104,0,0,1,21,0,0,0,0
Benjamin Snell,2021,RB,7,13.1,0,0,0,0,0,0,36,98,0,0,2,13,0,0,0,0
Sean Mannion,2021,QB,7,13.0,36,22,189,1,0,0,2,14,0,0,0,0,0,0,0,0
Auden Tate,2021,WR,10,12.9,0,0,0,0,0,0,0,0,0,0,3,39,1,0,0,0
Marlon Mack,2021,RB,14,12.9,0,0,0,0,0,0,28,101,0,0,2,8,0,0,0,0
Penny Hart,2021,WR,9,12.9,0,0,0,0,0,0,0,0,0,0,7,59,0,0,0,0
Sean McKeon,2021,TE,7,12.7,0,0,0,0,0,0,0,0,0,0,4,27,1,0,0,0
Ryquell Armstead,2021,RB,7,12.6,0,0,0,0,0,0,15,80,0,0,3,16,0,0,0,0
Luke Farrell,2021,TE,7,12.6,0,0,0,0,0,0,0,0,0,0,7,56,0,0,0,0
KJ Hamler,2021,WR,11,12.4,0,0,0,0,0,0,0,0,0,0,5,74,0,0,0,0
Brian Hoyer,2021,QB,14,12.3,11,9,227,1,0,0,11,-8,0,0,0,0,0,0,0,0
Andy Janovich,2021,RB,13,11.9,0,0,0,0,0,0,2,0,1,0,3,9,0,1,0,0
Juwann Winfree,2021,WR,13,11.8,0,0,0,0,0,0,0,0,0,0,8,58,0,0,1,0
Jaelon Darden,2021,WR,9,11.4,0,0,0,0,0,0,1,11,0,0,6,43,0,0,0,0
Tyree Jackson,2021,TE,14,11.2,0,0,0,0,0,0,0,0,0,0,3,22,1,0,0,0
Cameron Batson,2021,WR,13,11.0,0,0,0,0,0,0,2,15,0,0,2,15,1,0,0,0
Kene Nwangwu,2021,RB,7,11.0,0,0,0,0,0,0,13,61,0,0,4,9,0,0,0,0
Jake Fromm,2021,QB,10,10.9,60,27,210,1,3,0,8,65,0,0,0,0,0,0,1,0
Chris Myarick,2021,RB,10,10.7,0,0,0,0,0,0,0,0,0,0,3,17,1,0,0,0
Tre' McKitty,2021,TE,7,10.5,0,0,0,0,0,0,0,0,0,0,6,45,0,0,0,0
Ja'Marcus Bradley,2021,WR,13,10.4,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0
Charlie Woerner,2021,TE,6,10.2,0,0,0,0,0,0,0,0,0,0,5,52,0,0,0,0
Mike Thomas,2021,WR,10,10.2,0,0,0,0,0,0,0,0,0,0,5,52,0,0,0,0
Dezmon Patmon,2021,WR,14,10.1,0,0,0,0,0,0,0,0,0,0,2,21,1,0,0,0
Nick Mullens,2021,QB,13,9.9,30,20,147,1,0,0,0,0,0,0,0,0,0,0,0,0
Rodney Smith,2021,RB,9,9.8,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,0
Curtis Samuel,2021,WR,9,9.8,0,0,0,0,0,0,4,11,0,0,6,27,0,0,0,0
C.J. Board,2021,WR,10,9.7,0,0,0,0,0,0,1,6,0,0,4,51,0,0,0,0
Jonathan Ward,2021,RB,12,9.7,0,0,0,0,0,0,9,33,0,0,3,34,0,0,0,0
Amari Rodgers,2021,WR,13,9.6,0,0,0,0,0,0,1,11,0,0,4,45,0,0,0,0
Parker Hesse,2021,TE,6,9.3,0,0,0,0,0,0,0,0,0,0,5,43,0,0,0,0
Johnny Stanton,2021,RB,13,9.2,0,0,0,0,0,0,3,5,0,0,2,7,1,0,0,0
Alex Armah,2021,RB,9,9.2,0,0,0,0,0,0,5,21,0,0,1,1,1,0,0,0
Deon Jackson,2021,RB,14,9.1,0,0,0,0,0,0,13,31,1,0,0,0,0,0,0,0
JaQuan Hardy,2021,RB,7,8.9,0,0,0,0,0,0,4,29,1,0,0,0,0,0,0,0
Wendell Smallwood,2021,RB,9,8.7,0,0,0,0,0,0,5,25,0,0,4,22,0,0,0,0
Jason Moore,2021,WR,7,8.6,0,0,0,0,0,0,0,0,0,0,3,56,0,0,0,0
Will Fuller,2021,WR,14,8.6,0,0,0,0,0,0,0,0,0,0,4,26,0,1,0,0
Alex Erickson,2021,WR,13,8.5,0,0,0,0,0,0,0,0,0,0,3,55,0,0,0,0
Cody White,2021,WR,7,8.3,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0
Colby Parkinson,2021,TE,9,8.3,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0
Jakob Johnson,2021,RB,14,8.3,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
Darren Fells,2021,TE,9,8.3,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
Mitchell Trubisky,2021,QB,7,8.1,8,6,43,0,1,0,13,24,1,0,0,0,0,0,0,0
Kyle Allen,2021,QB,9,7.9,19,12,120,1,0,0,2,11,0,0,0,0,0,0,1,0
