Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD,ID
C. Stevens,2010,TE,9,35.2,0,0,0,0,0,0,0,0,0,0,11,122,2,0,0,0,stevecr01
J. Gilmore,2010,TE,4,35.0,0,0,0,0,0,0,0,0,0,0,13,160,1,0,0,0,gilmojo01
D. Lee,2010,TE,10,34.3,0,0,0,0,0,0,0,0,0,0,11,73,3,0,1,0,leedo01
T. Copper,2010,WR,4,33.7,0,0,0,0,0,0,0,0,0,0,18,157,0,0,0,0,coppete01
J. Skelton,2010,QB,6,33.4,126,60,662,2,2,0,10,49,0,0,0,0,0,0,1,0,skeltjo01
M. Hart,2010,RB,7,33.0,0,0,0,0,0,0,43,185,1,0,6,25,0,0,0,0,hartmi01
M. Moore,2010,QB,6,32.8,143,79,857,5,10,0,5,25,0,0,0,0,0,0,2,0,moorema07
D. Graham,2010,TE,9,32.8,0,0,0,0,0,0,0,0,0,0,18,148,0,0,0,0,grahada01
A. Brown,2010,WR,5,32.7,0,0,0,0,0,0,0,0,0,0,16,167,0,0,0,0,brownan05
E. Dickson,2010,TE,8,32.2,0,0,0,0,0,0,0,0,0,0,11,152,1,0,0,0,dicksed01
J. Kleinsasser,2010,TE,4,31.8,0,0,0,0,0,0,0,0,0,0,17,148,0,0,0,0,kleinji01
C. Hall,2010,WR,8,31.4,0,0,0,0,0,0,9,29,0,0,11,115,1,0,0,0,hallch06
L. Washington,2010,RB,5,30.9,0,0,0,0,0,0,27,100,1,0,9,79,0,0,1,0,washile01
L. Polite,2010,RB,5,30.3,0,0,0,0,0,0,26,62,1,0,12,61,0,0,0,0,politlo01
L. Pope,2010,TE,4,29.6,0,0,0,0,0,0,0,0,0,0,10,76,2,0,0,0,popele01
J. Galloway,2010,WR,9,29.3,0,0,0,0,0,0,0,0,0,0,12,173,0,0,0,0,gallojo01
P. Cobbs,2010,RB,5,29.1,0,0,0,0,0,0,4,0,0,0,8,91,2,0,0,0,cobbspa01
R. Martin,2010,WR,5,28.8,0,0,0,0,0,0,0,0,0,0,7,158,1,0,0,0,martiru01
T. Thigpen,2010,QB,5,28.7,62,33,435,2,2,0,13,73,0,0,0,0,0,0,0,0,thigpty01
B. Patrick,2010,TE,6,27.3,0,0,0,0,0,0,0,0,0,0,15,123,0,0,0,0,patribe01
J. Delhomme,2010,QB,8,26.7,149,93,872,2,7,0,8,-2,0,0,0,0,0,0,1,0,delhoja01
C. Baker,2010,TE,5,26.6,0,0,0,0,0,0,0,0,0,0,9,116,1,0,0,0,bakerch01
M. Moore,2010,WR,5,26.4,0,0,0,0,0,0,1,16,0,0,6,128,1,0,0,0,moorema08
T. Sutton,2010,RB,6,26.1,0,0,0,0,0,0,13,71,0,0,12,70,0,0,0,0,suttoty01
S. Hurd,2010,WR,4,26.0,0,0,0,0,0,0,0,0,0,0,14,120,0,0,0,0,hurdsa01
T. Jackson,2010,QB,4,25.9,58,34,341,3,4,1,7,63,0,0,0,0,0,0,0,0,jacksta01
M. Flynn,2010,QB,10,25.9,66,40,433,3,2,0,9,26,0,0,0,0,0,0,1,0,flynnma01
J. Peelle,2010,TE,8,25.6,0,0,0,0,0,0,0,0,0,0,10,96,1,0,0,0,peellju01
A. Hall,2010,RB,9,25.1,0,0,0,0,0,0,1,1,0,0,15,100,0,0,0,0,hallah01
S. McGee,2010,QB,4,24.9,44,22,238,2,0,0,13,74,0,0,0,0,0,0,0,0,mcgeest01
D. Aromashodu,2010,WR,8,24.9,0,0,0,0,0,0,0,0,0,0,10,149,0,0,0,0,aromade01
R. Cooper,2010,WR,8,24.6,0,0,0,0,0,0,0,0,0,0,7,116,1,0,0,0,cooperi02
T. Edwards,2010,QB,9,24.6,101,55,521,2,5,0,14,58,0,0,0,0,0,0,0,0,edwartr02
J. McKnight,2010,RB,7,23.9,0,0,0,0,0,0,39,189,0,0,3,20,0,0,0,0,mcknijo01
M. Bell,2010,RB,8,23.6,0,0,0,0,0,0,47,99,0,0,7,67,0,0,0,0,bellmi02
V. Tucker,2010,WR,4,23.4,0,0,0,0,0,0,0,0,0,0,6,114,1,0,0,0,tuckeve01
R. Davis,2010,WR,8,23.4,0,0,0,0,0,0,0,0,0,0,9,84,1,0,0,0,davisra01
A. Crumpler,2010,TE,5,23.2,0,0,0,0,0,0,0,0,0,0,6,52,2,0,0,0,crumpal01
N. Roosevelt,2010,WR,6,23.2,0,0,0,0,0,0,1,3,0,0,9,139,0,0,0,0,roosena01
J. Stupar,2010,TE,6,23.1,0,0,0,0,0,0,0,0,0,0,12,111,0,0,0,0,stupajo01
C. Batch,2010,QB,5,23.1,49,29,352,3,3,0,7,30,0,0,0,0,0,0,0,0,batchch01
M. Spaeth,2010,TE,5,23.0,0,0,0,0,0,0,0,0,0,0,9,80,1,0,0,0,spaetma01
D. Anderson,2010,WR,7,22.7,0,0,0,0,0,0,0,0,0,0,11,117,0,0,0,0,anderda03
C. Harbor,2010,TE,8,22.2,0,0,0,0,0,0,0,0,0,0,9,72,1,0,0,0,harbocl01
M. Komar,2010,WR,6,21.7,0,0,0,0,0,0,0,0,0,0,12,117,0,0,1,0,komarma01
D. Briscoe,2010,WR,4,21.3,0,0,0,0,0,0,0,0,0,0,6,93,1,0,0,0,briscde01
M. Stovall,2010,WR,4,21.1,0,0,0,0,0,0,0,0,0,0,7,81,1,0,0,0,stovama01
D. Ware,2010,RB,8,21.0,0,0,0,0,0,0,20,73,0,0,7,67,0,0,0,0,wareda02
C. Morrah,2010,TE,5,20.7,0,0,0,0,0,0,0,0,0,0,9,117,0,0,0,0,morraca01
E. Decker,2010,WR,9,20.6,0,0,0,0,0,0,0,0,0,0,6,106,1,0,1,0,deckeer01
M. Robinson,2010,RB,5,20.5,1,1,28,0,0,0,12,77,0,0,8,37,0,0,0,0,robinmi03
L. Ball,2010,RB,9,20.4,0,0,0,0,0,0,41,158,0,0,3,16,0,0,0,0,ballla03
