,Rank,Player,Team,Pos,Age,G,GS,passCmp,passAtt,passYds,passTD,passInt,rushAtt,rushYds,rushYPA,rushTD,Tgt,Rec,recYds,recYPR,recTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,ID,Year
392,381,Jabari Holloway,HOU,TE,25,15,9,0,0,0,0,0,0,0,,0,10,8,84,10.50,0,0,,0,,,8,16.4,16.4,12.4,,66,,HollJa01,2003
393,382,Bryan Johnson,WAS,RB,25,16,11,0,0,0,0,0,2,5,2.50,0,12,9,71,7.89,0,0,,0,,,8,16.6,16.6,12.1,,123,,JohnBr01,2003
394,383,Kevin Lockett,NYJ,WR,29,3,0,0,0,0,0,0,0,0,,0,7,5,76,15.20,0,0,,0,,,8,12.6,12.6,10.1,,135,,LockKe00,2003
395,384,Dustin Lyman,CHI,TE,27,9,1,0,0,0,0,0,0,0,,0,13,11,80,7.27,0,0,,0,,,8,19.0,19.0,13.5,,67,,LymaDu00,2003
396,385,Adrian Peterson,CHI,RB,24,6,1,0,0,0,0,0,22,70,3.18,0,1,1,5,5.00,0,0,,0,,,8,8.5,8.5,8.0,,124,,PeteAd00,2003
397,386,Rod Smart,CAR,RB,26,16,0,0,0,0,0,0,20,49,2.45,0,3,3,11,3.67,0,2,2,1,,,8,11.0,13.0,9.5,,122,,SmarRo00,2003
398,387,Reggie Barlow,TAM,WR,30,11,0,0,0,0,0,0,0,0,,0,6,3,27,9.00,1,1,1,1,,,7,9.7,10.7,8.2,,139,,BarlRe00,2003
399,388,Eddie Berlin,TEN,WR,25,14,0,0,0,0,0,0,0,0,,0,2,1,50,50.00,1,2,2,1,,,7,8.0,10.0,7.5,,136,,BerlEd00,2003
400,389,Todd Bouman,NOR,QB,31,4,0,7,13,81,1,0,3,1,0.33,0,0,0,0,,0,1,1,0,,1,7,7.3,8.3,7.3,,58,,BoumTo00,2003
402,390,Mark Bruener,PIT,TE,31,14,0,0,0,0,0,0,0,0,,0,6,2,12,6.00,1,0,,1,,,7,9.2,9.2,8.2,,69,,BrueMa00,2003
403,391,Jesse Chatman,SDG,RB,24,16,0,0,0,0,0,0,8,17,2.13,0,5,5,54,10.80,0,0,,0,,,7,12.1,12.1,9.6,,125,,ChatJe00,2003
404,392,Clarence Coleman,BUF,WR,23,14,0,0,0,0,0,0,0,0,,0,17,8,69,8.63,0,0,,0,,,7,14.9,14.9,10.9,,137,,ColeCl00,2003
405,393,Zeron Flemister,WAS,TE,27,12,9,0,0,0,0,0,0,0,,0,17,9,89,9.89,0,1,1,0,,,7,15.9,16.9,11.4,,71,,FlemZe00,2003
406,394,David Garrard,JAX,QB,25,2,0,9,12,86,1,0,0,0,,0,0,0,0,,0,0,,0,,,7,7.4,7.4,7.4,,57,,GarrDa00,2003
407,395,Shaun McDonald,STL,WR,22,8,1,0,0,0,0,0,2,7,3.50,0,21,10,62,6.20,0,1,,0,,,7,16.9,16.9,11.9,,138,,McDoSh00,2003
408,396,Jimmy Redmond,JAX,WR,26,12,0,0,0,0,0,0,0,0,,0,7,3,67,22.33,0,0,,0,,,7,9.7,9.7,8.2,,140,,RedmJi00,2003
409,397,O.J. Santiago,OAK,TE,29,12,7,0,0,0,0,0,0,0,,0,7,5,69,13.80,0,0,,0,,,7,11.9,11.9,9.4,,72,,SantO.00,2003
410,398,Josh Scobey,ARI,RB,24,15,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,0,,1,,,7,7.9,7.9,7.4,,126,,ScobJo00,2003
411,399,Jerramy Stevens,SEA,TE,24,16,3,0,0,0,0,0,0,0,,0,19,6,72,12.00,0,0,,0,,,7,13.2,13.2,10.2,,70,,StevJe00,2003
412,400,R.J. Bowers,CLE,RB,29,1,0,0,0,0,0,0,0,0,,0,2,1,2,2.00,1,0,,1,,,6,7.2,7.2,6.7,,128,,BoweRJ00,2003
413,401,Avon Cobourne,DET,RB,24,7,0,0,0,0,0,0,10,27,2.70,0,9,4,30,7.50,0,0,,0,,,6,9.7,9.7,7.7,,130,,CoboAv00,2003
414,402,Eddie Drummond,DET,WR,23,6,0,0,0,0,0,0,1,1,1.00,0,0,0,0,,0,1,,1,,,6,6.1,6.1,6.1,,141,,DrumEd00,2003
415,403,Heath Evans,SEA,RB,25,14,0,0,0,0,0,0,7,24,3.43,0,2,2,34,17.00,0,0,,0,,,6,7.8,7.8,6.8,,129,,EvanHe00,2003
416,404,Ryan Neufeld,BUF,TE,28,16,1,0,0,0,0,0,1,14,14.00,0,5,3,41,13.67,0,0,,0,,,6,8.5,8.5,7.0,,73,,NeufRy00,2003
417,405,Dave Ragone,HOU,QB,24,2,2,20,40,135,0,1,6,51,8.50,0,1,1,-5,-5.00,0,4,1,0,,,6,7.0,9.0,7.5,,59,,RagoDa00,2003
418,406,Walter Rasby,NOR,TE,31,16,7,0,0,0,0,0,0,0,,0,7,6,55,9.17,0,0,,0,,,6,11.5,11.5,8.5,,74,,RasbWa00,2003
419,407,Sage Rosenfels,MIA,QB,25,2,0,4,6,50,1,0,1,-1,-1.00,0,0,0,0,,0,0,,0,,,6,5.9,5.9,5.9,,60,,RoseSa00,2003
420,408,Lamar Smith,NOR,RB,33,4,0,0,0,0,0,0,11,61,5.55,0,1,1,2,2.00,0,0,,0,,,6,7.3,7.3,6.8,,127,,SmitLa00,2003
421,409,Randal Williams,DAL,,25,15,0,0,0,0,0,0,0,0,,0,3,0,0,,0,0,,1,,,6,6.0,6.0,6.0,,142,,WillRa01,2003
422,410,Obafemi Ayanbadejo,MIA,RB,28,16,2,0,0,0,0,0,1,-2,-2.00,0,13,12,53,4.42,0,1,,0,,,5,17.1,17.1,11.1,,131,,AyanOb00,2003
423,411,Travis Brown,BUF,QB,26,2,0,14,18,160,0,1,1,5,5.00,0,0,0,0,,0,0,,0,,,5,4.9,5.9,5.9,,61,,BrowTr01,2003
424,412,Oronde Gadsden,MIA,WR,32,6,0,0,0,0,0,0,0,0,,0,9,4,48,12.00,0,0,,0,,,5,8.8,8.8,6.8,,147,,GadsOr00,2003
425,413,Hunter Goodwin,MIN,TE,31,16,5,0,0,0,0,0,0,0,,0,5,4,26,6.50,0,0,,0,1,,5,8.6,8.6,6.6,,77,,GoodHu00,2003
426,414,Shawn Jefferson,DET,WR,34,7,3,0,0,0,0,0,1,3,3.00,0,11,6,46,7.67,0,0,,0,,,5,10.9,10.9,7.9,,146,,JeffSh00,2003
427,415,David Kircus,DET,WR,23,5,2,0,0,0,0,0,0,0,,0,12,3,53,17.67,0,0,,0,,,5,8.3,8.3,6.8,,143,,KircDa00,2003
428,416,Brian Kozlowski,ATL,TE,33,16,9,0,0,0,0,0,0,0,,0,27,10,87,8.70,0,1,2,0,,,5,14.7,16.7,9.7,,76,,KozlBr00,2003
429,417,Jason McAddley,ARI,WR,24,2,0,0,0,0,0,0,0,0,,0,12,4,53,13.25,0,0,,0,,,5,9.3,9.3,7.3,,144,,McAdJa00,2003
430,418,Ahmad Merritt,CHI,WR,26,15,1,0,0,0,0,0,0,0,,0,10,3,50,16.67,0,1,,0,,,5,8.0,8.0,6.5,,145,,MerrAh00,2003
431,419,Patrick Pass,NWE,RB,26,13,1,0,0,0,0,0,6,27,4.50,0,8,4,21,5.25,0,0,,0,,,5,8.8,8.8,6.8,,133,,PassPa00,2003
433,420,Robert Royal,WAS,TE,24,6,6,0,0,0,0,0,0,0,,0,11,5,48,9.60,0,1,,0,,,5,9.8,9.8,7.3,,75,,RoyaRo00,2003
434,421,Paul Smith,DET,RB,25,7,0,0,0,0,0,0,2,5,2.50,0,6,5,45,9.00,0,0,,0,,,5,10.0,10.0,7.5,,132,,SmitPa00,2003
435,422,Sam Aiken,BUF,WR,23,5,0,0,0,0,0,0,0,0,,0,8,3,35,11.67,0,0,,0,,,4,6.5,6.5,5.0,,150,,AikeSa00,2003
436,423,Doug Chapman,MIN,RB,26,4,0,0,0,0,0,0,15,33,2.20,0,1,1,8,8.00,0,0,,0,,,4,5.1,5.1,4.6,,134,,ChapDo00,2003
437,424,Chris Cole,DEN,WR,26,11,0,0,0,0,0,0,2,8,4.00,0,8,3,36,12.00,0,1,,0,,,4,7.4,7.4,5.9,,148,,ColeCh00,2003
438,425,James Fenderson,NOR,RB,27,9,0,0,0,0,0,0,4,14,3.50,0,1,1,5,5.00,0,0,,0,1,,4,4.9,4.9,4.4,,136,,FendJa00,2003
439,426,Rob Johnson,2TM,QB,30,4,0,11,20,93,0,1,3,21,7.00,0,0,0,0,,0,0,,0,,,4,3.8,4.8,4.8,,62,,JohnRo00,2003
440,427,Kendall Newson,MIA,WR,23,6,0,0,0,0,0,0,0,0,,0,6,2,55,27.50,0,1,1,0,,,4,5.5,6.5,4.5,,151,,NewsKe00,2003
441,428,Moran Norris,HOU,RB,25,16,9,0,0,0,0,0,0,0,,0,10,7,40,5.71,0,0,,0,,,4,11.0,11.0,7.5,,135,,NorrMo00,2003
442,429,Willie Ponder,NYG,WR,23,4,0,0,0,0,0,0,0,0,,0,11,7,35,5.00,0,0,,0,,,4,10.5,10.5,7.0,,152,,PondWi00,2003
