,Rank,Player,Team,Pos,Age,G,GS,passCmp,passAtt,passYds,passTD,passInt,rushAtt,rushYds,rushYPA,rushTD,Tgt,Rec,recYds,recYPR,recTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,ID
93,91,Willis McGahee,BUF,RB,25,14,14,0,0,0,0,0,259,990,3.82,6,28,18,156,8.67,0,4,2,6,,,147,164.6,172.6,155.6,,26,,McGaWi00
94,92,Julius Jones,DAL,RB,25,16,16,0,0,0,0,0,267,1084,4.06,4,15,9,142,15.78,0,1,1,4,,,145,153.6,160.6,149.1,,27,,JoneJu01
95,93,Matt Leinart,ARI,QB,23,12,11,214,377,2547,11,12,22,49,2.23,2,0,0,0,,0,8,2,2,,,135,134.8,151.8,146.8,,23,,LeinMa00
96,94,Laurence Maroney,NWE,RB,21,14,0,0,0,0,0,0,175,745,4.26,6,30,22,194,8.82,1,1,1,7,,,134,155.9,162.9,144.9,,28,,MaroLa00
97,95,Mike Bell,DEN,RB,23,15,3,0,0,0,0,0,157,677,4.31,8,27,20,158,7.90,0,1,,8,,,132,151.5,157.5,141.5,,29,,BellMi00
98,96,Shaun Alexander,SEA,RB,29,10,10,0,0,0,0,0,252,896,3.56,7,16,12,48,4.00,0,6,3,7,,,130,142.4,148.4,136.4,,30,,AlexSh00
99,97,Charlie Frye,CLE,QB,25,13,13,252,393,2454,10,17,47,215,4.57,3,0,0,0,,0,8,7,3,,,130,129.7,159.7,146.7,,25,,FryeCh00
100,98,Brad Johnson,MIN,QB,38,15,14,270,439,2750,9,15,29,82,2.83,1,0,0,0,,0,9,,1,,,130,130.2,148.2,145.2,,24,,JohnBr00
101,99,DeShaun Foster,CAR,RB,26,14,14,0,0,0,0,0,227,897,3.95,3,46,32,159,4.97,0,4,2,3,,,120,151.6,159.6,135.6,,31,,FostDe00
102,100,Tatum Bell,DEN,RB,25,13,13,0,0,0,0,0,233,1025,4.40,2,31,24,115,4.79,0,5,5,2,,,116,140.0,151.0,128.0,,32,,BellTa00
103,101,Chris Henry,CIN,WR,23,13,4,0,0,0,0,0,0,0,,0,75,36,605,16.81,9,0,,9,,,115,150.5,153.5,132.5,,31,,HenrCh00
104,102,Muhsin Muhammad,CHI,WR,33,16,16,0,0,0,0,0,0,0,,0,117,60,863,14.38,5,1,1,5,,,114,174.3,178.3,144.3,,32,,MuhaMu00
105,103,Leon Washington,NYJ,RB,24,16,8,0,0,0,0,0,151,650,4.30,4,31,25,270,10.80,0,3,1,4,,,114,139.0,146.0,126.5,,33,,WashLe00
106,104,Dominic Rhodes,IND,RB,27,16,16,0,0,0,0,0,187,641,3.43,5,47,36,251,6.97,0,3,3,5,,,113,149.2,158.2,131.2,,34,,RhodDo00
107,105,Bernard Berrian,CHI,WR,26,15,14,0,0,0,0,0,2,5,2.50,0,102,51,775,15.20,6,2,1,6,,,112,163.0,167.0,137.5,,33,,BerrBe00
108,106,David Garrard,JAX,QB,28,11,10,145,241,1735,10,9,47,250,5.32,0,0,0,0,,0,4,2,0,,,112,112.4,129.4,121.4,,26,,GarrDa00
109,107,Joey Harrington,MIA,QB,28,11,11,223,388,2236,12,15,19,24,1.26,0,0,0,0,,0,4,1,0,,2,112,111.8,130.8,126.8,,27,,HarrJo00
110,108,Devery Henderson,NOR,WR,24,13,7,0,0,0,0,0,2,14,7.00,1,54,32,745,23.28,5,0,,6,,,112,143.9,146.9,127.9,,34,,HendDe00
111,109,Jake Plummer,DEN,QB,32,16,11,175,317,1994,11,13,36,112,3.11,1,0,0,0,,0,7,2,1,,,111,111.0,132.0,124.0,,28,,PlumJa00
112,110,Clinton Portis,WAS,RB,25,8,7,0,0,0,0,0,127,523,4.12,7,26,17,170,10.00,0,0,,7,,,111,128.3,134.3,119.8,,35,,PortCl00
113,111,Reuben Droughns,CLE,RB,28,14,12,0,0,0,0,0,220,758,3.45,4,33,27,169,6.26,0,5,4,4,,,109,135.7,145.7,122.2,,37,,DrouRe00
114,112,Damon Huard,KAN,QB,33,10,8,148,244,1878,11,1,9,9,1.00,0,2,2,-6,-3.00,0,9,5,0,,1,109,111.4,120.4,111.4,,29,,HuarDa00
115,113,Brandon Jacobs,NYG,RB,24,15,0,0,0,0,0,0,96,423,4.41,9,14,11,149,13.55,0,2,1,9,,,109,120.2,127.2,114.7,,36,,JacoBr00
116,114,Keyshawn Johnson,CAR,WR,34,16,16,0,1,0,0,1,1,4,4.00,1,128,70,815,11.64,4,1,1,5,,,108,177.9,182.9,143.9,,35,,JohnKe00
117,115,Cedric Benson,CHI,RB,24,15,0,0,0,0,0,0,157,647,4.12,6,10,8,54,6.75,0,0,,6,,,106,114.1,117.1,110.1,,38,,BensCe00
118,116,Donte' Stallworth,PHI,WR,26,12,11,0,0,0,0,0,0,0,,0,70,38,725,19.08,5,0,,5,,,103,140.5,143.5,121.5,,36,,StalDo00
119,117,Mark Brunell,WAS,QB,36,10,9,162,260,1789,8,4,13,34,2.62,0,0,0,0,,0,5,1,0,,2,101,101.0,109.0,105.0,,30,,BrunMa00
120,118,Reche Caldwell,NWE,WR,27,16,14,0,0,0,0,0,1,5,5.00,0,102,61,760,12.46,4,2,1,4,1,,101,161.5,165.5,131.0,,38,,CaldRe00
121,119,Chris Chambers,MIA,WR,28,16,16,0,0,0,0,0,8,95,11.88,0,154,59,677,11.47,4,0,,4,,,101,160.2,163.2,130.7,,37,,ChamCh00
123,120,Ron Dayne,HOU,RB,28,11,6,0,0,0,0,0,151,612,4.05,5,18,14,77,5.50,0,1,,5,1,,101,114.9,117.9,107.9,,39,,DaynRo00
124,121,Deion Branch,SEA,WR,27,14,13,0,0,0,0,0,4,30,7.50,0,101,53,725,13.68,4,0,,4,,,100,152.5,155.5,126.0,,39,,BranDe00
125,122,Cadillac Williams,TAM,RB,24,14,14,0,0,0,0,0,225,798,3.55,1,44,30,196,6.53,0,3,3,1,,,99,129.4,138.4,114.4,,40,,WillCa02
126,123,Santonio Holmes,PIT,WR,22,16,4,0,0,0,0,0,1,13,13.00,0,86,49,824,16.82,2,5,3,3,,,96,144.7,150.7,120.2,,40,,HolmSa00
127,124,Bryant Johnson,ARI,WR,25,16,8,0,0,0,0,0,1,-3,-3.00,0,74,40,740,18.50,4,1,1,4,,,96,135.7,139.7,115.7,,41,,JohnBr02
128,125,Jeff Garcia,PHI,QB,36,8,6,116,188,1309,10,2,25,87,3.48,0,0,0,0,,0,6,2,0,,1,95,95.1,102.1,97.1,,31,,GarcJe00
129,126,Joe Horn,NOR,WR,34,10,9,0,1,0,0,0,0,0,,0,61,37,679,18.35,4,0,,4,1,,94,130.9,133.9,112.4,,42,,HornJo00
130,127,DeAngelo Williams,CAR,RB,23,13,2,0,0,0,0,0,121,501,4.14,1,36,33,313,9.48,1,1,,2,,,93,126.4,132.4,109.9,,41,,WillDe02
131,128,Drew Bennett,TEN,WR,28,16,15,0,0,0,0,0,0,0,,0,98,46,737,16.02,3,2,1,3,1,,92,137.7,141.7,114.7,,43,,BennDr00
132,129,Wali Lundy,HOU,RB,23,14,8,0,0,0,0,0,124,476,3.84,4,39,33,204,6.18,0,1,1,4,1,,92,125.0,132.0,108.5,,42,,LundWa00
133,130,Antonio Bryant,SFO,WR,25,14,13,0,0,0,0,0,0,0,,0,91,40,733,18.33,3,0,,3,,,91,131.3,134.3,111.3,,44,,BryaAn00
134,131,Jason Campbell,WAS,QB,25,7,7,110,207,1297,10,6,24,107,4.46,0,0,0,0,,0,1,,0,,,91,90.6,102.6,96.6,,32,,CampJa00
135,132,Bruce Gradkowski,TAM,QB,23,13,11,177,328,1661,9,9,41,161,3.93,0,0,0,0,,0,11,6,0,,,89,88.5,109.5,97.5,,33,,GradBr00
136,133,Reggie Williams,JAX,WR,23,16,14,0,0,0,0,0,7,33,4.71,0,91,52,616,11.85,4,1,,4,,,89,140.9,143.9,114.9,,45,,WillRe00
137,134,Arnaz Battle,SFO,WR,26,16,15,0,1,0,0,0,5,25,5.00,0,85,59,686,11.63,3,2,1,3,,,87,146.1,150.1,116.6,,47,,BattAr00
138,135,Derrick Mason,BAL,WR,32,16,15,0,0,0,0,0,1,-4,-4.00,0,112,68,750,11.03,2,1,,2,,,87,154.6,157.6,120.6,,48,,MasoDe00
139,136,Nate Washington,PIT,WR,23,16,2,0,0,0,0,0,3,8,2.67,0,69,35,624,17.83,4,0,,4,,,87,122.2,125.2,104.7,,46,,WashNa00
140,137,Michael Jenkins,ATL,WR,24,16,16,0,0,0,0,0,1,2,2.00,0,83,39,436,11.18,7,0,,7,,,86,124.8,127.8,105.3,,49,,JenkMi00
141,138,Jerious Norwood,ATL,RB,23,14,0,0,1,0,0,0,99,633,6.39,2,15,12,102,8.50,0,0,,2,,,86,97.5,103.5,91.5,,43,,NorwJe00
142,139,D.J. Hackett,SEA,WR,25,14,5,0,0,0,0,0,0,0,,0,66,45,610,13.56,4,0,,4,,,85,130.0,133.0,107.5,,50,,HackD.00
143,140,Vincent Jackson,SDG,WR,23,16,7,0,0,0,0,0,3,16,5.33,0,56,27,453,16.78,6,0,,6,1,,85,111.9,114.9,98.4,,51,,JackVi00
144,141,Matt Jones,JAX,WR,23,14,4,0,0,0,0,0,2,-15,-7.50,0,76,41,643,15.68,4,1,1,4,,,85,125.8,129.8,105.3,,52,,JoneMa00
145,142,Justin Fargas,OAK,RB,26,16,6,0,0,0,0,0,178,659,3.70,1,21,13,91,7.00,0,1,,1,,,81,94.0,97.0,87.5,,44,,FargJu00
146,143,Greg Jennings,GNB,WR,23,14,11,0,0,0,0,0,0,0,,0,104,45,632,14.04,3,1,,3,,,81,126.2,129.2,103.7,,53,,JennGr00
147,144,Byron Leftwich,JAX,QB,26,6,6,108,183,1159,7,5,25,41,1.64,2,0,0,0,,0,2,,2,,,80,80.5,88.5,85.5,,34,,LeftBy00
148,145,Travis Taylor,MIN,WR,28,16,16,0,0,0,0,0,1,5,5.00,0,87,57,651,11.42,3,2,2,3,,,80,136.6,141.6,108.1,,54,,TaylTr01
149,146,Ben Watson,NWE,TE,26,13,13,0,0,0,0,0,0,0,,0,91,49,643,13.12,3,3,2,3,,,78,127.3,132.3,102.8,,12,,WatsBe00
150,147,Ronald Curry,OAK,WR,27,16,4,0,2,0,0,1,1,4,4.00,0,89,62,727,11.73,1,0,,1,,,77,139.1,143.1,109.1,,55,,CurrRo01
